Date,Value
02/04/2014,1.376841526
01/04/2014,1.379310345
31/03/2014,1.378359752
28/03/2014,1.375137514
27/03/2014,1.373815084
26/03/2014,1.378549766
25/03/2014,1.377790025
24/03/2014,1.378359752
21/03/2014,1.378169791
20/03/2014,1.378359752
19/03/2014,1.390820584
18/03/2014,1.391207568
17/03/2014,1.39275766
14/03/2014,1.392369813
13/03/2014,1.39275766
12/03/2014,1.390433815
11/03/2014,1.386770212
10/03/2014,1.387925052
07/03/2014,1.386385692
06/03/2014,1.384083045
05/03/2014,1.373815084
04/03/2014,1.374192662
03/03/2014,1.377410468
28/02/2014,1.38102472
27/02/2014,1.368176221
26/02/2014,1.366680333
25/02/2014,1.373437715
24/02/2014,1.372683596
21/02/2014,1.374570447
20/02/2014,1.371177842
19/02/2014,1.37532664
18/02/2014,1.374948439
17/02/2014,1.370050692
14/02/2014,1.368550705
13/02/2014,1.366493577
12/02/2014,1.358880283
11/02/2014,1.36761488
10/02/2014,1.364815068
07/02/2014,1.361841209
06/02/2014,1.35998912
05/02/2014,1.353179973
04/02/2014,1.35098622
03/02/2014,1.35171668
31/01/2014,1.348435814
30/01/2014,1.356300014
29/01/2014,1.364442625
28/01/2014,1.366306873
27/01/2014,1.367240908
24/01/2014,1.368550705
23/01/2014,1.368176221
22/01/2014,1.356483993
21/01/2014,1.354279523
20/01/2014,1.356300014
17/01/2014,1.355748373
16/01/2014,1.35998912
15/01/2014,1.359619307
14/01/2014,1.368738024
13/01/2014,1.365374113
10/01/2014,1.367240908
09/01/2014,1.358511072
08/01/2014,1.35998912
07/01/2014,1.360544218
06/01/2014,1.36425648
03/01/2014,1.361285053
02/01/2014,1.365747064
31/12/2013,1.376841526
30/12/2013,1.38121547
27/12/2013,1.37760022
24/12/2013,1.367989056
23/12/2013,1.370614035
20/12/2013,1.367053999
19/12/2013,1.366867141
18/12/2013,1.376273053
17/12/2013,1.373060552
16/12/2013,1.37532664
13/12/2013,1.373060552
12/12/2013,1.37532664
11/12/2013,1.379120121
10/12/2013,1.377031121
09/12/2013,1.371930306
06/12/2013,1.368363437
05/12/2013,1.365747064
04/12/2013,1.355564593
03/12/2013,1.358880283
02/12/2013,1.355564593
29/11/2013,1.361655773
28/11/2013,1.35998912
27/11/2013,1.357220413
26/11/2013,1.356116084
25/11/2013,1.350438893
22/11/2013,1.352082207
21/11/2013,1.346257404
20/11/2013,1.34643867
19/11/2013,1.352630867
18/11/2013,1.352447931
15/11/2013,1.347345729
14/11/2013,1.34589502
13/11/2013,1.340302908
12/11/2013,1.343724805
11/11/2013,1.340842049
08/11/2013,1.334935256
07/11/2013,1.338329764
06/11/2013,1.352630867
05/11/2013,1.347527287
04/11/2013,1.351168761
01/11/2013,1.348617667
31/10/2013,1.359434475
30/10/2013,1.377031121
29/10/2013,1.377031121
28/10/2013,1.378549766
25/10/2013,1.379310345
24/10/2013,1.38026225
23/10/2013,1.378359752
22/10/2013,1.377220768
21/10/2013,1.367427868
18/10/2013,1.369675387
17/10/2013,1.366306873
16/10/2013,1.349163519
15/10/2013,1.350256549
14/10/2013,1.358511072
11/10/2013,1.356300014
10/10/2013,1.352082207
09/10/2013,1.351533991
08/10/2013,1.359619307
07/10/2013,1.357036233
04/10/2013,1.359619307
03/10/2013,1.36239782
02/10/2013,1.359064963
01/10/2013,1.352447931
30/09/2013,1.353546291
27/09/2013,1.353912808
26/09/2013,1.348072257
25/09/2013,1.350803728
24/09/2013,1.349163519
23/09/2013,1.349163519
20/09/2013,1.35098622
19/09/2013,1.354096141
18/09/2013,1.334757074
17/09/2013,1.334757074
16/09/2013,1.335291761
13/09/2013,1.326084074
12/09/2013,1.330849082
11/09/2013,1.330140995
10/09/2013,1.326435867
09/09/2013,1.325381047
06/09/2013,1.315616366
05/09/2013,1.311991603
04/09/2013,1.319783555
03/09/2013,1.315789474
02/09/2013,1.319087192
30/08/2013,1.318565401
29/08/2013,1.322576379
28/08/2013,1.33386688
27/08/2013,1.339405304
23/08/2013,1.340123291
22/08/2013,1.33457894
21/08/2013,1.337613697
20/08/2013,1.34264232
19/08/2013,1.335113485
16/08/2013,1.333155579
15/08/2013,1.325029813
14/08/2013,1.326435867
13/08/2013,1.323626737
12/08/2013,1.329433661
09/08/2013,1.335113485
08/08/2013,1.338508901
07/08/2013,1.331912627
06/08/2013,1.330849082
05/08/2013,1.323977228
02/08/2013,1.32837407
01/08/2013,1.323451562
31/07/2013,1.327844908
30/07/2013,1.325029813
